Time   | Frame  | Pose  | Hand  | Raw Handedness   | History | Top-1 Pred             | Top-2 Pred            
16.70s |    452 | True  | True  | Right:0.92       |      30 | sorry (56.7%)          | goodbye (41.4%)       
16.78s |    454 | True  | False | None             |      30 | sorry (56.7%)          | goodbye (41.4%)       
16.85s |    456 | True  | False | None             |      30 | sorry (56.7%)          | goodbye (41.4%)       
16.92s |    458 | True  | True  | Right:0.96       |      30 | sorry (67.8%)          | goodbye (30.1%)       
17.00s |    460 | True  | True  | Right:0.98       |      30 | sorry (67.9%)          | goodbye (29.7%)       
17.07s |    462 | True  | True  | Right:0.97       |      30 | sorry (71.3%)          | goodbye (25.8%)       
17.14s |    464 | True  | True  | Right:0.97       |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.22s |    466 | True  | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.29s |    468 | True  | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.37s |    470 | True  | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.44s |    472 | True  | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.51s |    474 | True  | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.59s |    476 | True  | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.66s |    478 | True  | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.74s |    480 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.81s |    482 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.88s |    484 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
17.96s |    486 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.03s |    488 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.11s |    490 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.18s |    492 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.25s |    494 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.33s |    496 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.40s |    498 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.47s |    500 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.55s |    502 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.62s |    504 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.70s |    506 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.77s |    508 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.84s |    510 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.92s |    512 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
18.99s |    514 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
19.07s |    516 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
19.14s |    518 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
19.21s |    520 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
19.29s |    522 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
19.36s |    524 | False | False | None             |      30 | sorry (63.6%)          | goodbye (33.9%)       
