Time   | Frame  | Pose? | PValid | Hand? | Raw Handedness   | P_NZ  | LH_NZ | RH_NZ | Hist  | Top-1 Prediction       | Top-2 Prediction      
 3.15s |    117 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | morning (96.0%)        | good (2.4%)           
 3.23s |    120 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | morning (88.0%)        | good (6.1%)           
 3.31s |    123 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | morning (74.7%)        | what (16.6%)          
 3.40s |    126 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | what (37.3%)           | morning (37.3%)       
 3.48s |    129 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | good (43.9%)           | morning (38.7%)       
 3.56s |    132 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | morning (54.4%)        | what (31.2%)          
 3.64s |    135 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | what (50.1%)           | morning (39.4%)       
 3.72s |    138 | False | False  | True  | Right:0.98       |     0 |     0 |    63 |    30 | what (76.2%)           | morning (20.5%)       
 3.80s |    141 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 3.88s |    144 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 3.96s |    147 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 4.04s |    150 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 4.12s |    153 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 4.20s |    156 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 4.29s |    159 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 4.37s |    162 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
